standing,team,games,wins,draws,losses,scored,missed,points,home_wins,home_draws,home_losses,home_scored,home_missed,home_points,away_wins,away_draws,away_losses,away_scored,away_missed,away_points
8,26,13,5,4,4,17,14,19,4,2,1,11,5,14,1,2,3,6,9,5
9,18,13,5,4,4,14,16,19,3,2,1,8,7,11,2,2,3,6,9,8
10,11,13,4,5,4,23,21,17,2,2,2,12,12,8,2,3,2,11,9,9
11,15,13,5,2,6,16,18,17,3,2,2,7,6,11,2,0,4,9,12,6
12,24,13,4,3,6,13,16,15,2,1,3,6,7,7,2,2,3,7,9,8
13,25,13,2,8,3,12,19,14,1,5,1,7,7,8,1,3,2,5,12,6
14,10,13,3,4,6,18,22,13,2,1,3,8,9,7,1,3,3,10,13,6
15,28,13,3,4,6,13,18,13,1,3,3,10,11,6,2,1,3,3,7,7
16,2,13,3,4,6,7,18,13,1,2,3,4,9,5,2,2,3,3,9,8
17,13,13,2,5,6,14,20,11,1,2,3,8,10,5,1,3,3,6,10,6
18,20,13,3,2,8,14,25,11,3,2,2,12,10,11,0,0,6,2,15,0
19,7,13,2,5,6,9,21,11,1,3,3,5,10,6,1,2,3,4,11,5
20,14,13,2,4,7,13,21,10,1,4,1,10,9,7,1,0,6,3,12,3

1,9,14,11,3,0,33,11,36,7,0,0,18,3,21,4,3,0,15,8,15
2,16,14,9,3,2,31,14,30,4,1,1,11,5,13,5,2,1,20,9,17
3,23,14,8,2,4,24,10,26,5,1,1,17,4,16,3,1,3,7,6,10
4,17,14,7,4,3,24,16,25,6,1,1,16,6,19,1,3,2,8,10,6
5,29,14,7,3,4,23,17,24,4,1,2,9,6,13,3,2,2,14,11,11
6,1,14,6,5,3,22,15,23,3,3,1,12,8,12,3,2,2,10,7,11
7,26,14,6,4,4,19,14,22,5,2,1,13,5,17,1,2,3,6,9,5
8,15,14,6,2,6,19,19,20,3,2,2,7,6,11,3,0,4,12,13,9
9,18,14,5,5,4,15,17,20,3,2,1,8,7,11,2,3,3,7,10,9
10,27,14,6,2,6,18,21,20,3,0,4,9,9,9,3,2,2,9,12,11
11,11,14,4,6,4,24,22,18,2,3,2,13,13,9,2,3,2,11,9,9
12,2,14,4,4,6,8,18,16,1,2,3,4,9,5,3,2,3,4,9,11
13,24,14,4,3,7,14,18,15,2,1,3,6,7,7,2,2,4,8,11,8
14,25,14,2,8,4,13,23,14,1,5,2,8,11,8,1,3,2,5,12,6
15,10,14,3,4,7,18,23,13,2,1,4,8,10,7,1,3,3,10,13,6
16,28,14,3,4,7,14,20,13,1,3,4,11,13,6,2,1,3,3,7,7
17,13,14,2,6,6,15,21,12,1,2,3,8,10,5,1,4,3,7,11,7
18,7,14,2,6,6,10,22,12,1,4,3,6,11,7,1,2,3,4,11,5
19,20,14,3,2,9,14,27,11,3,2,2,12,10,11,0,0,7,2,17,0
20,14,14,2,4,8,14,24,10,1,4,2,11,12,7,1,0,6,3,12,3

1,9,15,11,3,1,34,13,36,7,0,0,18,3,21,4,3,1,16,10,15
2,16,15,10,3,2,32,14,33,5,1,1,12,5,16,5,2,1,20,9,17
3,17,15,8,4,3,26,17,28,6,1,1,16,6,19,2,3,2,10,11,9
4,29,15,8,3,4,26,18,27,5,1,2,12,7,16,3,2,2,14,11,11
5,23,15,8,2,5,25,12,26,5,1,2,18,6,16,3,1,3,7,6,10
6,1,15,6,5,4,24,18,23,3,3,1,12,8,12,3,2,3,12,10,11
7,18,15,6,5,4,17,18,23,4,2,1,10,8,14,2,3,3,7,10,9
