result,t1_avg_pts_mu,t1_avg_pts_tot,t1_avg_recv_mu,t1_avg_recv_tot,t1_avg_scrd_mu,t1_avg_scrd_tot,t1_standing,t2_avg_pts_mu,t2_avg_pts_tot,t2_avg_recv_tot,t2_avg_scrd_tot,t2_standing
2,1.5,1.3647058824,1.5,1.4,2,1.5529411765,4,1.5,1.2127659574,1.4042553191,0.9787234043,11
0,1.5,0.9375,1,1.5416666667,1.5,1.125,15,1.5,1.4302325581,1.3488372093,1.4069767442,6
1,2.5,2.3139534884,0.5,0.6627906977,1.75,1.9651162791,3,0.25,1.2674418605,1.5465116279,1.1744186047,16
2,0.25,1.0348837209,2,1.4651162791,1,1.0813953488,14,2.5,2.2325581395,0.6744186047,1.8255813953,1
0,0.5,1.6511627907,2.5,0.988372093,1.75,1.4418604651,11,2,1.6162790698,1.2674418605,1.6162790698,7
1,0.25,1.1976744186,1.25,1.2325581395,0,1.0465116279,10,2.5,2.0930232558,0.7906976744,1.9534883721,5
1,1.5,1.1860465116,0.75,1.3023255814,1.25,1.0581395349,20,1.5,1.1395348837,1.3139534884,0.9302325581,12
0,0.75,1.0581395349,1.75,1.488372093,0.75,1.023255814,8,2.25,1.2674418605,1.2906976744,1.1279069767,17
1,2,2.0581395349,1.5,0.9651162791,2.25,2.0348837209,2,0.5,1.3488372093,1.3953488372,1.5348837209,4
0,1,2.0689655172,1,0.816091954,1,1.9425287356,6,1,0.9387755102,1.5102040816,1.1020408163,14
1,1,2.2413793103,1.75,0.6666666667,0.75,1.8505747126,1,1.75,2.3218390805,0.6551724138,1.9655172414,3
2,0.25,1.2643678161,2.25,1.2988505747,0.75,1.1379310345,16,2.5,1.6436781609,0.9885057471,1.4367816092,11
0,0.75,1.1264367816,1,1.3448275862,0.5,0.9195402299,13,1.5,1.2183908046,1.2298850575,1.0689655172,9
1,0.5,0.8775510204,1.5,1.7959183673,1,0.9591836735,19,2,1.2448979592,1.387755102,1,10
